,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
1088,2,623.68,3323,3.38,0.26,9.81,2.89,19.68,1.28,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1089,2,626.57,3197,3.25,0.28,8.61,1.78,30.41,1.12,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1090,2,628.35,4167,4.23,0.69,6.04,2.14,79.23,1.46,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1091,2,630.49,2269,2.31,0.26,7.09,1.15,33.59,0.95,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1092,2,631.64,4895,4.97,0.42,11.59,1.9,40.84,1.13,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1093,2,633.54,2080,2.11,0.27,6.05,2.29,39.12,1.05,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1094,2,635.83,2089,2.12,0.24,6.03,2.08,23.38,0.97,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1095,2,637.91,2880,2.93,0.44,6.3,2.44,55.85,1.2,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1096,2,640.35,3374,3.43,0.41,7.44,1.63,53.87,1.16,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1097,2,641.98,2947,2.99,0.29,7.87,1.08,34.45,1.12,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1098,2,643.06,3093,3.14,0.55,5.44,1.98,68.09,1.33,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1099,2,645.04,3986,4.05,0.42,9.07,2.79,42.51,1.24,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1100,2,647.83,4080,4.15,0.35,10.21,1.99,39.19,1.24,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1101,2,649.82,2165,2.2,0.3,6.16,2.26,42.85,1.17,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1102,2,652.08,3149,3.2,0.3,8.83,1.62,25.62,1.08,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1103,2,653.7,3306,3.36,0.34,8.06,1.43,46.69,1.13,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1104,2,655.13,2861,2.91,0.3,7.7,1.71,40.57,1.3,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1105,2,656.84,3858,3.92,0.31,11.55,1.62,23.39,1.11,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1106,2,658.46,1949,1.98,0.26,5.51,1.35,32.05,0.86,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1107,2,659.81,2577,2.62,0.42,5.69,2.37,58.6,1.13,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1108,2,662.18,3528,3.59,0.29,9.59,1.63,32.71,1.04,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
