,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
3735,5,1625.12,2478,2.54,0.26,7.0,1.66,23.59,1.07,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3736,5,1626.78,2304,2.36,0.27,6.73,1.98,21.34,1.06,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3737,5,1628.76,2477,2.54,0.25,7.24,2.71,22.62,1.23,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3738,5,1631.47,2232,2.28,0.24,6.36,1.35,26.71,0.97,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3739,5,1632.82,2588,2.65,0.24,7.7,2.43,15.57,1.26,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3740,5,1635.25,2961,3.03,0.33,8.21,2.96,29.29,1.57,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3741,5,1638.21,1624,1.66,0.22,5.05,1.76,24.59,0.93,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3742,5,1639.97,2034,2.08,0.29,5.74,1.18,27.14,1.06,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3743,5,1641.15,5029,5.15,0.72,7.67,1.61,56.63,1.78,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3744,5,1642.76,2152,2.2,0.26,6.24,1.29,25.42,1.01,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3745,5,1644.05,1993,2.04,0.23,6.13,2.06,18.5,1.07,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3746,5,1646.11,2374,2.43,0.25,7.02,1.76,23.89,1.06,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3747,5,1647.87,3344,3.42,0.44,7.95,1.75,39.56,1.44,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3748,5,1649.62,2153,2.2,0.25,6.23,1.13,26.2,1.01,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3749,5,1650.75,2503,2.56,0.28,6.97,1.23,23.4,1.04,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
