,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
4089,6,395.04,1133,1.27,0.26,3.7,1.88,23.76,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4090,6,396.92,1340,1.5,0.26,4.38,1.72,23.5,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4091,6,398.64,1369,1.53,0.28,4.49,1.68,27.06,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4092,6,400.32,1867,2.09,0.42,4.25,1.47,41.73,1.41,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4093,6,401.79,1581,1.77,0.25,4.96,3.11,21.91,1.02,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4094,6,404.9,1084,1.21,0.27,3.56,1.4,31.44,0.96,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4095,6,406.3,1410,1.58,0.28,4.34,1.72,25.79,1.16,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4096,6,408.02,1899,2.12,0.27,5.84,1.93,24.29,1.01,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4097,6,409.95,1587,1.77,0.29,4.63,1.89,31.73,1.21,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4098,6,411.84,1036,1.16,0.28,3.29,1.46,31.61,0.96,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4099,6,413.3,1496,1.67,0.28,4.61,2.67,32.31,1.01,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4100,6,415.97,1417,1.58,0.28,4.51,1.73,25.17,1.0,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4101,6,417.7,773,0.86,0.27,2.5,1.14,35.0,0.91,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4102,6,418.84,1732,1.94,0.29,5.49,1.29,27.26,1.26,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4103,6,420.13,1277,1.43,0.26,3.95,2.06,27.8,1.05,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4104,6,422.19,1264,1.41,0.25,4.01,1.15,20.54,1.01,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4105,6,423.34,1421,1.59,0.26,4.42,1.86,25.27,1.05,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4106,6,425.2,1133,1.27,0.28,3.52,2.26,28.95,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4107,6,427.46,1591,1.78,0.25,4.91,1.72,23.71,1.0,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4108,6,429.18,901,1.01,0.31,2.83,1.37,44.55,1.18,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4109,6,430.55,1345,1.5,0.27,4.35,1.19,25.42,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4110,6,431.74,1524,1.7,0.49,3.45,1.69,53.56,1.45,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4111,6,433.43,2098,2.34,0.3,6.69,3.29,21.44,1.55,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4112,6,436.72,1228,1.37,0.25,4.06,1.84,19.49,0.84,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4113,6,438.56,1501,1.68,0.25,4.74,2.31,19.96,1.15,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4114,6,440.87,1215,1.36,0.26,3.79,1.16,23.61,1.03,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4115,6,442.03,751,0.84,0.24,2.54,1.8,26.04,0.97,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4116,6,443.83,1554,1.74,0.3,4.93,1.84,26.07,1.13,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4117,6,445.67,1216,1.36,0.28,3.82,1.64,27.47,0.95,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
