unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[536],"[(3570.0, -490.0)]","[0, 1, 2, 3]","[56.79823759845209, 312.6684747820848, 51.47058823529412, 317.4025425780264]","[158.1203110726293, 370.68248144323974, 204.89356881873897, 241.62641030661268]","[0.9840909288964017, 0.8420030047741138, 1.0, 0.976580607208521]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[2601]
[540],"[(980.0, -1417.5)]","[0, 1, 2]","[55.612554606534914, 43.5282153599384, 524.9999999999999]","[151.53913284285107, 124.23284148787373, 262.5]","[0.9934185934914525, 1.0, 0.9999999999999996]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[9890]
[535],"[(3570.0, -490.0)]","[0, 1, 2, 3, 4, 5]","[60.96705707278044, 291.54759474226506, 221.35943621178654, 34.13618943659195, 333.8523652440082, 311.9764227974819]","[217.43195573968308, 277.04165815979275, 228.5810204436508, 161.55214883813318, 422.9848333192886, 395.9395720014443]","[0.9496798071862681, 1.0, 1.0, 1.0, 0.9774428428743176, 0.9339467039208651]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[5535]
[544],"[(2607.5, -1750.0)]","[0, 1]","[47.29729729729729, -349.99999999999994]","[122.5, 123.94834428021885]","[1.0, 0.9999999999999998]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[11795]
[543],"[(1137.5, -2047.5)]","[0, 1, 2, 3, 4]","[206.2442551464219, -782.6237921249262, 199.11336521655744, 295.1016249089538, 116.66666666666667]","[630.7038159000366, 598.3102754097123, 192.78942951477512, 283.2438590435337, 106.73284148787373]","[0.9242767292619974, 0.9999999999999998, 0.9910289576563293, 0.9321169889234615, 1.0]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[389]
[545],"[(3517.5, -1732.5)]","[0, 1]","[139.39518468189337, 183.71044626794867]","[312.39494185694895, 251.72704898912943]","[0.9915318586027269, 0.9881283683068836]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[14468]
[548],"[(507.5, -122.5)]",[0],[-400.38349304661585],[1618.132158729992],[0.9014117665066456],"[10541, 10541]","[0.0013207318152309848, 0.0013207318152309848]",[4906]
[546],"[(682.5, -1837.5)]","[0, 1]","[437.49999999999994, 266.5520587052368]","[112.24873734152916, 220.7760293526184]","[1.0, 1.0]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[7859]
[547],"[(1610.0, -297.5)]","[0, 1]","[305.8938568856692, 263.2400625321734]","[81.37992694777549, 308.8322831021216]","[0.9771420827084976, 0.9904792525716881]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[6075]
[550],"[(3710.0, -1207.5)]","[0, 1, 2, 3]","[199.81889330320206, 382.53137288670433, 960.3904664460221, 355.72070379773515]","[173.12613897236298, 352.7276353729413, 167.58859639447581, 270.5876667775047]","[0.9771440249104477, 0.9843605456837595, 0.8366184120058707, 0.9988825494222163]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[7652]
